PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH
3.388887193,10.72,2.13082,1.0,2.4475,5780.0,11268.0
3.6366231,12.4438,0.993,1.0,3.385,5978.0,8385.0
6.5587386,2.56709,0.993,1.0,2.196,4337.0,1396.0
20.523,1.8,0.993,2.0,3.30605,3810.0,0.098
2.27190723,1.12,0.05337,1.0,5.383,5788.0,149.0
3.9589903,20.2505,0.993,1.0,3.5,6551.0,13190.0
197.5111484,9.52,0.36069,3.0,11.106,5616.0,2575.6
11.90727,4.51,0.94,3.0,3.30605,5390.0,714.1
2.6834113,2.33576,0.993,1.0,1.146,5221.0,760.0
2.80944,3.567,0.993,1.0,3.151,4968.3,1606.43
11.1199028,2.08,0.94776,1.0,3.3759,5078.0,636.3
3.4843,3.567,0.993,1.0,3.30605,3204.0,0.66
14.759287,6.18,0.993,1.0,3.30605,5880.0,714.1
9.6742544,11.7179,0.993,1.0,6.594,6803.0,2923.0
2.105238039,75.1,0.18096,1.0,5.23595,5947.0,94675.0
20.885075,4.05,0.993,2.0,3.30605,5071.0,0.231
1.8554,3.567,0.993,0.0,3.30605,4990.0,0.0775
6.216994,7.46488,0.993,1.0,2.759,6304.0,2060.0
14.7126653,2.08605,0.993,1.0,3.56,6156.0,305.0
4.2254748,7.6400361,0.993,1.0,4.8390265,5729.0,1577.257225
495.51899,2.94,49.11715,1.0,3.592,6043.0,297.6
3.95383243,3.567,0.993,2.0,2.37,5726.0,714.1
4.85018974,1.1,0.00445,1.0,5.676,6032.0,64.5
1.3697115,20.6045,0.993,1.0,1.951,7321.3,3867.0
105.6552651,4.22,0.96789,3.0,9.39,5741.0,1366.9
5.8176452,11.6459,0.993,1.0,3.30605,5633.4,0.9178
362.13187,2.23,14.81161,1.0,5.59,5176.0,849.0
0.593274,3.567,0.993,0.0,3.30605,5557.0,63.6988
6.09747233,2.22,1.32778,3.0,3.431,5661.0,217.6
14.0498182,1.45,2.93196,1.0,2.907,4228.0,472.0
27.47083,3.36,0.993,0.0,3.30605,4947.03,0.15
4.64090031,30.09,0.00218,1.0,35.512,6463.0,2450.6
17.6062701,1.72,0.04774,2.0,6.134,5808.0,146.2
9.2271917,9.80232,0.993,1.0,3.781,5899.0,5540.0
18.36974658,3.58,0.4924,4.0,2.939,5244.0,1143.3
3.4363074,14.7953,0.993,1.0,2.861,5213.0,27910.0
1.6031794,3.567,0.00864,1.0,0.91,5726.0,714.1
5.26640614,38.05,0.84883,1.0,3.6163,5916.0,59294.0
2.503415,3.567,0.993,1.0,3.416,5726.0,1877.0
2.45840745,3.567,0.993,0.0,3.30605,5528.0,0.063
13.853487,3.567,0.993,3.0,3.30605,3919.0,714.1
5.8492379,1.18919,0.993,2.0,3.257,6461.8,109.0
0.5474737,10.9219,0.993,1.0,1.789,5073.0,1430.0
5.03505665,1.63,0.63958,4.0,1.804,5888.0,151.5
1.466473,3.567,0.993,0.0,3.30605,4570.0,33.5755
2.4732088,15.4982,0.993,1.0,2.244,6643.0,2740.0
369.0,4.92,0.55,6.0,3.30605,6320.0,714.1
5.88350251,1.27,2.52639,1.0,2.556,5840.0,217.7
4.05325447,1668.79,33.23987,1.0,4.0116,6022.0,110920.0
47.189437,66.71,0.93885,1.0,11.555,5458.0,370870.0
4.22865217,1.83,1.00597,4.0,3.3275,5966.0,150.0
1.566528935,49.66,0.56499,1.0,3.2593,5883.0,92511.0
12.36564669,24.89,0.02384,1.0,3.644,6075.0,388.4
0.536869783,1.81,0.09772,1.0,4.164,6495.0,221.7
3.2891219,15.1457,0.993,1.0,2.948,6947.0,8100.0
4.4274169,19.9341,0.993,1.0,5.435,6812.0,10600.0
0.631106722,0.63,5.34015,1.0,0.9942,5400.0,49.2
30.2004765,2.6056,0.993,1.0,4.517,6004.0,520.0
1.324292,3.567,0.993,0.0,3.30605,7114.0,24.9317
1.8286961,21.4433,0.993,1.0,3.37,6046.3,7283.0
2.2091186,20.0456418,0.993,1.0,3.2100502,6876.0,11835.254258
2.2284671,10.9560053,0.993,1.0,1.5708912,5156.0,15402.4299594
2.97586085,0.85,0.28086,1.0,4.513,5481.0,105.9
86.13201864,3.567,0.993,3.0,3.11,5726.0,714.1
13.8911152,1.12,0.9017,1.0,5.062,5472.0,204.9
24.13861,10.22,0.993,4.0,3.30605,4970.0,0.5
3.34465934,1.17,0.02504,1.0,10.796,5966.0,57.6
0.8818115,9.47171,0.993,1.0,1.558,6571.0,2067.0
7.28116,1.79,0.993,0.0,3.30605,3726.0,714.1
2.5693728,2.18392,0.993,2.0,2.471,6156.0,290.0
8.48039789,1.71,0.20911,1.0,6.249,5401.0,259.7
345.98207283,3.567,0.993,3.0,2.97,5726.0,714.1
15.99560373,1.04,3.31831,3.0,3.471,4955.0,221.7
28.297207229,54.15,1.55334,1.0,3.94247,6327.0,23193.0
0.565713361,0.81,5.35806,1.0,0.954,5220.0,86.4
1.52317871,3.567,0.993,0.0,3.30605,5735.72,0.734
6.6210878,9.48332,0.993,1.0,2.297,4790.0,13071.0
358.96247,2.37,0.1891,1.0,23.49,5743.0,670.8
1.634614356,44.22,0.1674,1.0,3.4422,6121.0,19762.0
1.3934565,3.567,0.993,1.0,2.809,3301.0,2530.0
6.2095391,30.47,2.2107,1.0,2.752,3861.0,47.9
0.912351255,1.46,0.30618,2.0,1.072,5481.0,111.8
5.48923,11.8401,0.993,1.0,3.29,6004.0,910.0
38.505224,2.45,0.76267,1.0,5.941,5974.0,695.2
7.80905,2.79,0.993,2.0,3.30605,5726.0,0.052
21.78769087,71.95,0.02901,1.0,4.498,5627.0,507.7
15.196,4.96345,0.993,1.0,1.792,5807.0,1970.0
326.370361,22.6,21.33104,1.0,4.526,5188.0,568.8
3.27109,1.53899305,0.993,1.0,3.30605,5288.0,0.0252
1.930451347,58.77,0.27209,1.0,3.87956,6154.0,53075.0
22.8245144,3.36,0.62132,2.0,6.617,6642.0,322.7
4.377339,31.9,0.993,0.0,3.30605,5726.0,3.3397
1.921111,3.23,0.993,1.0,3.30605,5726.0,0.1967
5.57739,0.75,0.993,4.0,3.30605,3497.0,714.1
8.438756,2.34,0.993,2.0,3.30605,4812.0,714.1
1.3797091,22.2329,0.993,1.0,2.352,5924.0,1320.0
185.53285,28.39,0.00113,1.0,31.46,5817.0,877.0
4.19577385,3.02,2.46352,1.0,2.1557,5229.0,874.2
7.51854537,1.42,2.8135,2.0,2.845,5064.0,286.7
3.6001959,16.1928,0.993,1.0,2.887,7172.0,7820.0
148.272013,4.3,2.95931,3.0,4.192,5717.0,1707.4
1.288312,3.567,0.993,0.0,3.30605,3412.0,24.1729
2.189090653,23.25,0.0155,1.0,5.2094,5401.0,1027.1
5.7459996,3.567,0.993,1.0,3.30605,3348.0,714.1
91.078624,3.26,0.08704,1.0,10.304,5915.0,738.6
3.2292942,3.567,0.993,1.0,2.47,5726.0,10130.0
12.85755895,1.23,0.5859,1.0,4.831,5860.0,106.5
2.484193,14.23543,0.649,1.0,3.30605,6100.0,714.1
17.9661374,11.3217,0.993,1.0,3.791,6891.0,3183.0
12.4260454,2.64,0.00047,2.0,27.7691,5645.0,582.1
1.422647,1.45,0.993,2.0,3.30605,4953.0,714.1
2.633852528,1.38,2.65689,2.0,2.0206,5114.0,259.8
588.8,3.567,0.993,4.0,3.30605,5552.0,714.1
5.0800579,3.95,0.15353,1.0,5.207,6049.0,222.8
6.146653835,3.4610442,0.993,1.0,6.7940415,5134.0,1885.160909
15.3004892,2.3968761,0.993,1.0,3.1952319,4082.0,1265.2897827
0.679336747,1.4,3.18974,1.0,1.2188,5440.0,240.7
4.420983,3.567,0.993,1.0,4.083,5726.0,3980.0
2.54427583,3.567,0.993,0.0,3.30605,8188.0,0.012
26.4837,1.98,0.993,0.0,3.30605,5726.0,0.0201
4.9486116,10.6945832,0.993,1.0,1.3297363,5524.0,6987.092161
3.13295351,1.39,2.49482,4.0,2.2207,5016.0,435.2
393.946106,18.07,0.74864,1.0,6.012,4888.0,747.5
2.17291055,0.93,1.57827,1.0,2.139,6164.0,76.4
8.00504749,1.52,1.91099,3.0,3.32,6398.0,187.5
31.3351094,1.99,0.46086,1.0,6.071,6404.0,264.9
0.3828485,13.7767,0.993,1.0,0.493,6419.6,960.0
10.7769944,1.15,5.23259,1.0,2.616,5455.0,185.6
1.882213,3.567,0.993,0.0,3.30605,6590.0,0.5678
6.0683318,2.1199939,0.993,1.0,1.9825707,3668.0,1742.7332385
13.45913,7.68909,0.993,1.0,3.428,6457.7,2579.32
1.287622419,0.87,4.01821,1.0,0.821,6170.0,36.5
5.9685742,6.64236,0.993,1.0,2.059,10390.0,340.0
14.13519,9.82212,0.993,1.0,2.273,6466.0,3863.0
70.516233809,52.74,29.36026,1.0,4.09296,5511.0,330180.0
1.613014741,157.33,0.35287,1.0,4.39594,7832.0,152120.0
26.0841212,1.35,0.98135,1.0,6.141,6083.0,259.7
0.758082,10.1273702,0.993,1.0,1.8184632,9917.0,583.93181
4.85819429,2.04,0.27305,1.0,5.356,6109.0,76.3
12.28351275,74.76,0.0338,1.0,3.634,6171.0,597.8
27.242808,93.0,0.993,0.0,3.30605,5726.0,3.7137
24.1399,9.72939525,1.2,4.0,3.30605,5050.0,714.1
1.71051215,1.04,6.93571,1.0,1.284,5925.0,42.2
6.1954595,1.37,0.98545,5.0,2.952,5001.0,296.4
0.928310036,1.16,4.74015,1.0,1.1899,4109.0,376.2
14.62709685,2.7,0.11063,4.0,4.097,5527.0,396.4
33.5107,2.14,0.993,0.0,3.30605,5683.0,714.1
3.1405783,11.93,0.993,1.0,1.574,5636.0,8570.0
35.621,1.89,0.993,1.0,3.30605,5440.0,0.045
6.5859565,5.98453,0.993,1.0,1.553,6353.0,1570.0
383.61248,2.3,1.32625,1.0,12.263,6011.0,619.3
93.006,1.97,39.44068,1.0,2.461,5518.0,125.4
0.93376962,16.3,0.03366,1.0,7.023,6056.0,125.8
1.7590566,20.9577864,0.993,1.0,3.5349264,6250.0,10499.9757194
43.8418559,9.29872,0.993,1.0,4.599,5767.0,4630.0
22.4098677,0.73,2.18291,6.0,2.271,4900.0,69.8
282.5363563,70.53,1.06086,1.0,10.3088,6401.0,29233.0
71.3116598,4.94,0.99346,2.0,8.813,6194.0,2138.0
22.2903562,1.13,45.31252,1.0,1.623,5597.0,130.4
1.055785,1.51966184,0.993,0.0,3.30605,4315.0,714.1
7.57193,10.2119,0.993,1.0,2.656,9146.0,420.0
19.7580247,3.80858,0.993,2.0,3.198,9671.0,483.0
10.94026745,2.08,4.08831,1.0,2.3494,5749.0,538.6
0.80858305,3.567,0.993,0.0,3.30605,6151.8,1.022
2.900706,1.3,0.993,2.0,3.30605,4421.98,714.1
8.32727,2.03,0.993,2.0,3.30605,5315.0,0.05325
3.1082514,13.7608011,0.993,1.0,1.5649451,6413.0,5659.4686877
5.7456862,10.8845,0.993,1.0,3.339,5867.3,9441.0
309.19347,3.07,0.21772,1.0,23.51,5504.0,1445.0
3.48754109,0.72,4.34417,1.0,1.811,5252.0,85.1
7.46718958,1.04,0.90781,1.0,3.633,6161.0,75.7
0.963081,2.727644,0.993,1.0,2.378514,8688.0,244.261214
399.37587,3.93,0.22183,1.0,21.25,6098.0,552.2
4.0874138,17.2785,0.993,1.0,2.061,5881.0,7470.0
