PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH
29.015852933,1183.06,13.01865,1.0,7.19844,5783.0,71432.0
0.541405029,125.64,1.05786,1.0,2.7481,5096.0,327660.0
2.1481182,3.567,0.993,1.0,3.9313069,5876.0,22124.5443864
0.579309,3.567,0.993,0.0,3.30605,4888.0,47.1689
18.8224069,12.5063,0.993,1.0,1.76,5661.0,13388.0
9.65188331,1.08,1.03417,2.0,4.296,5768.0,103.2
9.715043,1.345,0.993,5.0,3.30605,3623.0,714.1
9.3281912,0.59,1.25917,1.0,3.991,5525.0,45.2
0.933749106,3.22,0.06501,1.0,4.256,6215.0,186.2
9.7607632,2.22799,0.993,1.0,1.967,5558.0,790.0
5.186737262,2.4,19.63952,1.0,0.8023,5230.0,712.7
0.839907158,0.92,6.45959,1.0,1.019,5120.0,119.6
0.537110149,32.19,0.10289,1.0,1.7976,5395.0,92.0
4.4644761,8.09695,0.993,1.0,1.185,7013.0,1690.0
16.6094904,1.82,2.17855,1.0,3.189,6047.0,272.9
188.881049,1.86,332.07834,1.0,1.49,6077.0,325.8
1.208974,1.44,7.858,3.0,3.30605,4236.0,714.1
46.4221,2.66,0.993,0.0,3.30605,5726.0,0.0793
3.7069545,12.7103,0.993,1.0,2.38,6643.0,7766.0
7.8373997,7.62042,0.993,1.0,3.273,6715.0,2880.0
2.1510781,3.567,0.993,1.0,2.355,5769.0,16930.0
1.853209359,32.99,0.79128,1.0,1.7543,6384.0,12319.0
2.8066134,17.3144,0.993,1.0,2.483,6709.0,14530.0
52.7993058,2.3982714,0.993,1.0,6.11948,5409.22,541.2696023
4.618767792,7.48,0.07842,1.0,5.9957,6013.0,4399.1
4.2814436,10.6824,0.993,1.0,0.868,5097.8,4910.0
6.146653835,3.567,0.993,2.0,3.30605,5726.0,714.1
3.313944,14.4,0.993,1.0,3.30605,5726.0,714.1
2.04516705,2.9,0.13423,1.0,3.625,9206.0,154.8
8.0970583,4.83,0.02141,1.0,5.699,6573.0,680.7
13.96950181,2.04,3.98511,3.0,1.5871,3716.0,1110.0
185.83013,1.01,1.53429,1.0,10.14,6137.0,72.6
