PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH,DISPOSITION_ENCODED
1071.232624,9.27,2.85277,4.0,16.1784,4799.0,19046.0,2
1.174683069,3.06,0.04263,1.0,2.5167,5974.0,356.4,0
1.3144014,2.78,0.993,0.0,3.30605,6137.0,0.0426,1
1.103978,3.567,731.16797,1.0,0.74,5726.0,714.1,0
23.277669,32.8,0.993,0.0,3.30605,4379.0,19.8,1
50.55398,0.94,1.84219,1.0,6.159,4895.0,199.7,1
49.18394185,8.2,0.31666,2.0,11.3364,5626.0,1646.2,2
2.25353739,96.65,0.24486,1.0,5.74622,6951.0,182830.0,0
46.50446209,3.567,0.993,1.0,1.37,5726.0,714.1,0
0.954388314,2.27,0.03322,1.0,6.26,7056.0,57.2,1
17.3840061,1.69425,0.993,1.0,3.932,5228.2,561.0,1
5.7488832,2.08943,0.993,1.0,5.003,6009.0,190.0,1
5.17518,1.53,0.993,0.0,3.30605,5726.0,0.0317,1
2.64830047,126.54,0.45328,1.0,2.6395,4839.0,12668.0,0
7.8774163,2.16,8.09685,3.0,2.0805,4126.0,1306.1,2
1.5101054,19.2985,0.993,1.0,2.993,5964.0,13090.0,1
8.56394776,3.567,0.993,1.0,3.30605,5545.28,0.524,2
2.849274,4.38,0.993,1.0,3.30605,4299.98,714.1,2
1.9160221,10.8261,0.993,1.0,1.405,5623.0,2430.0,0
2.9588764,14.8585,0.993,1.0,2.682,6041.0,12900.0,1
2.121023807,5.75,9.48417,2.0,0.3673,6133.0,263.9,1
1.428596987,1.62,0.49757,1.0,2.1401,6745.0,50.0,0
6.146653835,31.1,0.993,0.0,3.30605,5726.0,0.1821,1
0.719741,0.57,0.34789,1.0,2.628,6014.0,32.2,0
7.41834569,1.12,4.3617,2.0,2.462,5549.0,234.0,1
2.192009479,35.9,0.04695,1.0,2.9453,5499.0,1475.6,0
0.2874782,5.53402,0.993,1.0,0.445,5702.0,1940.0,1
2.4713543,21.0203111,0.993,1.0,2.3649813,6351.8,8215.1143339,1
1.50635409,4.53,0.84722,1.0,1.5155,5714.0,2211.7,0
18.249,14.45961,0.993,2.0,3.30605,5990.0,714.1,2
2.92878704,22.76,0.01067,1.0,4.634,5955.0,549.4,0
38.3262237,2.43,0.47745,1.0,3.073,5229.0,392.1,2
2.9324083,13.5533,0.993,1.0,2.758,7696.0,10392.0,1
3.9613114,9.2319785,0.993,1.0,2.5843337,5221.0,15578.1136873,1
0.8746494,3.71319,0.993,1.0,1.576,4977.4,1910.0,1
545.205601,1.66,110.15084,1.0,3.296,6273.0,199.7,1
13.9509565,0.75,0.58242,4.0,5.231,5888.0,35.7,1
2.3368358,6.32061,0.993,1.0,1.405,4439.0,5916.0,1
3.008602107,56.15,0.51475,1.0,4.34296,6033.0,120270.0,0
18.0116764,2.02,0.30594,1.0,6.006,6003.0,417.2,0
6.429582,2.59811964,0.993,3.0,3.30605,5382.0,714.1,2
372.54353,74.14,0.01042,1.0,21.83,5561.0,1106.0,0
12.4032,6.41,0.993,4.0,3.30605,5726.0,714.1,2
25.96190067,3.25,0.93345,1.0,6.2732,6369.0,350.3,2
7.374,3.567,0.993,2.0,3.30605,4550.0,0.1431,2
4.9594992,4.6274347,0.993,1.0,1.2463603,4900.0,2778.737264,1
7.815366,2.403,0.993,0.0,3.30605,4884.0,714.1,1
119.669671,2.21,0.10227,1.0,20.67,6382.0,421.9,0
13.2298203,1.5,1.87738,3.0,3.566,6049.0,157.8,1
161.515617,2.88,5.47826,2.0,6.548,4243.0,2215.3,2
3.4014954,9.32202,0.993,1.0,1.959,6005.0,7370.0,1
4.28746668,2.29,8.16471,1.0,1.5693,5296.0,790.1,2
0.673684895,0.7,2.32233,1.0,1.161,5645.0,51.1,0
1.3164901,11.2218,0.993,1.0,1.389,6341.0,3580.0,0
20.8392148,51.9,31.09446,1.0,2.3321,5378.0,177510.0,0
2.69828,1.21,0.993,1.0,3.30605,4715.0,0.02587,2
0.916326699,50.7,0.45229,1.0,3.1427,6046.0,96384.0,0
9.0102,3.6,0.993,0.0,3.30605,5726.0,0.0982,1
4.4532909,13.8211,0.993,1.0,6.572,5613.0,2866.0,1
33.93373447,7.34,0.0371,1.0,14.561,5040.0,8503.7,0
26.0179101,2.5512622,0.993,1.0,4.5258048,5489.0,766.5356589,1
1.2709769,4.10761,0.993,1.0,2.335,6296.0,1400.0,1
6.2384297,12.6929,0.993,1.0,2.066,5448.0,13808.0,1
3.6473383,1.9083777,0.993,1.0,4.4572847,5928.0,162.7642577,0
8.58966893,155.18,0.22753,1.0,6.962,3837.0,429.6,0
9.765482,12.1312,0.993,1.0,5.01,5887.0,2552.0,1
5.91393977,1.07,284.46906,2.0,0.562,6194.0,84.0,1
0.762406,0.99,0.993,1.0,3.30605,5620.0,714.1,2
39.721386,3.64229858,0.993,1.0,3.30605,5979.0,714.1,2
38.6520796,2.07,1.9665,4.0,5.607,5422.0,566.5,2
1.1020719,4.33066,0.993,1.0,0.864,6011.0,580.0,1
21.700156,2.072,0.993,1.0,3.30605,5452.0,714.1,2
10.3883213,3.76664,0.993,1.0,4.056,5638.7,822.0,1
20.8341497,2.26,1.84341,5.0,4.522,5296.0,803.1,2
14.066109,21.5662738,0.993,1.0,3.4744355,6157.0,16514.0482965,0
41.4856125,12.5121956,0.993,1.0,6.6899368,6354.0,959.7522291,1
30.1329298,3.14,0.4031,4.0,5.172,5527.0,1015.8,2
1.6212474,10.3122,0.993,1.0,3.262,4949.0,1100.0,0
3.35184041,1.88,3.76628,1.0,1.9855,6198.0,345.3,2
13.7252522,20.3352568,0.993,1.0,3.1694157,6104.0,4945.7679342,0
7.64370363,1.85,0.80132,3.0,2.738,6120.0,70.9,1
419.92898,1.51,1.19659,1.0,14.55,6047.0,233.5,0
2.881338104,31.58,0.04516,1.0,3.5943,5783.0,2533.7,0
2.0714803,9.7546,0.993,1.0,3.108,7047.0,1660.0,0
12.90235874,1.49,6.23823,1.0,2.446,5530.0,354.4,2
12.6534664,20.5105778,0.993,1.0,4.0982077,5394.6,27095.439949,0
1.457256942,98.16,0.20445,1.0,6.51381,6630.0,364900.0,0
12.12580644,2.5,0.69986,2.0,3.289,5500.0,327.5,2
2.0492064,3.567,0.993,1.0,3.417,5726.0,1030.0,0
0.494247662,1.51,1.97761,1.0,1.2443,5763.0,224.9,1
5.2436612,1.1,0.0241,1.0,11.39,6598.0,88.3,0
17.355066,3.24925008,0.993,1.0,3.30605,5791.0,714.1,2
13.6274,3.567,0.993,5.0,3.30605,3860.0,714.1,2
8.0242387,10.0363,0.993,1.0,2.189,5531.0,4500.0,1
6.80111,1.96,0.993,0.0,3.30605,5726.0,0.415,1
1.08195208,0.47,0.09231,1.0,4.807,5233.0,33.6,0
3.2730247,3.567,0.993,1.0,1.551,5769.7,4030.0,1
86.95432088,3.567,0.993,1.0,12.11,5726.0,714.1,1
18.8262877,2.34,12.56224,1.0,2.344,5215.0,795.8,2
2.972047661,24.74,2.23373,1.0,1.198,4491.0,5945.0,0
2.52,3.567,0.993,0.0,3.30605,5707.44,0.0105,1
9.7706,3.8,0.993,0.0,3.30605,5726.0,0.0988,1
20.35971899,0.8,1.4014,1.0,2.1521,3419.0,345.7,2
